simulation_time,location_id,junction_id,waiting_time,travel_time
0,location_1,K1,44.60931573146302,131.5028506079829
1,location_1,K1,75.96144258836758,134.46393378435218
2,location_1,K1,69.0350322630357,111.90986072719735
3,location_1,K1,87.42039935805236,101.10500779869444
4,location_1,K1,43.44849531865147,76.40378763094017
5,location_1,K1,90.00455701138151,154.79054814637928
6,location_1,K1,7.928095548398262,41.470144421662816
7,location_1,K1,31.379771710029093,140.28455682397373
8,location_1,K1,78.5935820456824,49.731687876330575
9,location_1,K1,78.57493974861065,164.1067809146951
10,location_1,K1,80.9989398040178,124.20634496465792
11,location_1,K1,28.85230604901684,33.92651965649331
12,location_1,K1,2.528066112043925,83.99051417079626
13,location_1,K1,3.193443552337249,89.86261732824315
14,location_1,K1,56.14678745923475,54.37188531459884
15,location_1,K1,0.3524075779978264,4.994065737242259
16,location_1,K1,78.14715956653137,43.90287183265027
17,location_1,K1,50.8857700715169,130.9628266198902
18,location_1,K1,0.8479091689599261,73.09861218788755
19,location_1,K1,98.35185446874034,188.35581527366037
20,location_1,K1,83.71863011165141,113.30637606975816
21,location_1,K1,48.1463663350175,140.65150193095306
22,location_1,K1,91.04956189625176,175.7322240194504
23,location_1,K1,37.955868397917925,181.6667315533692
24,location_1,K1,78.37604758050784,38.59411157354123
25,location_1,K1,31.647638672871736,93.93250194133736
26,location_1,K1,14.664138405486204,65.93139597082885
27,location_1,K1,90.03024475226164,50.55577285706989
28,location_1,K1,96.24411575588138,15.764585960123355
29,location_1,K1,12.775927092939298,199.6589392581417
30,location_1,K1,71.31517980840856,13.929050969393897
31,location_1,K1,62.6973744352598,173.0573754640418
32,location_1,K1,67.82125115007157,91.4533336924169
33,location_1,K1,65.78224633835791,170.00965723277815
34,location_1,K1,86.23541774685988,193.75726356223288
35,location_1,K1,12.188949088717017,28.66309176753308
36,location_1,K1,59.19587529961211,146.94974996064116
37,location_1,K1,93.78961643597648,177.77359155111174
38,location_1,K1,58.89348568594649,15.226430359721244
39,location_1,K1,11.888670064723584,33.59082589055602
40,location_1,K1,67.84721861138236,177.67877250196457
41,location_1,K1,42.38631944913303,98.27700045373292
42,location_1,K1,71.8184370936021,41.42783000895203
