simulation_time,location_id,junction_id,downstream_occupancy,downstream_queue_length,spillback
0,location_1,K1,0.1251893260259226,3.802969003875036,False
1,location_1,K1,0.6257648704634725,12.904799807791086,False
2,location_1,K1,0.7654908105186318,13.446788586617956,False
3,location_1,K1,0.391720593805778,5.528011078374899,False
4,location_1,K1,0.5368189262427812,0.4691105606471968,False
5,location_1,K1,0.758063978354994,18.640120032885086,False
6,location_1,K1,0.0511881801170531,4.649072068266291,False
7,location_1,K1,0.2368270236677356,10.92897542488428,False
8,location_1,K1,0.4415274432376552,15.97787706097063,False
9,location_1,K1,0.5411693917376943,7.244809969423187,False
10,location_1,K1,0.9657423441828163,7.764099704738925,True
11,location_1,K1,0.1540038900519197,10.107315695328648,False
12,location_1,K1,0.1734211529333107,18.2962588191508,False
13,location_1,K1,0.7965965522011638,13.79793883950466,False
14,location_1,K1,0.7889400580271873,5.036357784415653,False
15,location_1,K1,0.0969580760904877,2.41015007923278,False
16,location_1,K1,0.2667297518732038,1.3714225694357562,False
17,location_1,K1,0.9858715869132976,7.295515250078049,True
18,location_1,K1,0.5538866844552487,2.9243897566428245,False
19,location_1,K1,0.9550236969286748,8.248675765933342,True
20,location_1,K1,0.894106381641899,11.643966113685416,True
21,location_1,K1,0.2869094211112669,4.705152093965761,False
22,location_1,K1,0.898685133602342,13.72736487165244,True
23,location_1,K1,0.7017817309760439,12.93919622814989,False
24,location_1,K1,0.7731310281464184,6.480572727028047,False
25,location_1,K1,0.44306433261891,8.995639596559602,False
26,location_1,K1,0.5462632272886371,10.998390485156078,False
27,location_1,K1,0.5472262325117234,0.0507245429266056,False
28,location_1,K1,0.0189491737204848,18.613650729810185,False
29,location_1,K1,0.0254580977631145,12.66877861635736,False
30,location_1,K1,0.1456754245678151,14.550162987912785,False
31,location_1,K1,0.5878518984565971,12.845043024999509,False
32,location_1,K1,0.3785122022862024,17.47226014987213,False
33,location_1,K1,0.5308626974392378,14.64916313667766,False
34,location_1,K1,0.0787236066815116,9.51866714622047,False
35,location_1,K1,0.3770439370208023,17.773953032779055,False
36,location_1,K1,0.1965925901903054,5.286739853046529,False
37,location_1,K1,0.7597988896787502,13.878897424552347,False
38,location_1,K1,0.1430524421125804,4.497092551457602,False
39,location_1,K1,0.739858391904799,0.1820203326732294,False
40,location_1,K1,0.8874988942129712,8.51518784541299,True
41,location_1,K1,0.2667479510581836,5.531271710935648,False
42,location_1,K1,0.1175379625199827,9.625668787695268,False
43,location_1,K1,0.5803187297001576,0.3511079626867763,False
44,location_1,K1,0.6383920278858828,18.853982132865216,False
45,location_1,K1,0.3416962803305575,2.083015637773875,False
46,location_1,K1,0.3056619419054922,5.973956903674635,False
