simulation_time,location_id,junction_id,queue_length,downstream_queue_length,Metric,waiting_time,travel_time,downstream_occupancy,spillback
0,location_1,K1,5.0,3.802969003875036,queue_length,,,,
1,location_1,K1,2.0831160985396044,12.904799807791086,queue_length,,,,
2,location_1,K1,0.0,13.446788586617956,queue_length,,,,
3,location_1,K1,0.0,5.528011078374899,queue_length,,,,
4,location_1,K1,3.1737520180080203,0.4691105606471968,queue_length,,,,
5,location_1,K1,1.5372368863697008,18.640120032885086,queue_length,,,,
6,location_1,K1,0.0,4.649072068266291,queue_length,,,,
7,location_1,K1,0.0,10.92897542488428,queue_length,,,,
8,location_1,K1,0.0,15.97787706097063,queue_length,,,,
9,location_1,K1,1.957054188869181,7.244809969423187,queue_length,,,,
10,location_1,K1,4.722856533523612,7.764099704738925,queue_length,,,,
11,location_1,K1,3.903222484500976,10.107315695328648,queue_length,,,,
12,location_1,K1,4.654650448902919,18.2962588191508,queue_length,,,,
13,location_1,K1,4.724574406038322,13.79793883950466,queue_length,,,,
14,location_1,K1,4.335549933703282,5.036357784415653,queue_length,,,,
15,location_1,K1,0.0,2.41015007923278,queue_length,,,,
16,location_1,K1,1.508455237259675,1.3714225694357562,queue_length,,,,
17,location_1,K1,3.7412524311018354,7.295515250078049,queue_length,,,,
18,location_1,K1,1.3395301083759104,2.9243897566428245,queue_length,,,,
19,location_1,K1,4.352985893654206,8.248675765933342,queue_length,,,,
20,location_1,K1,3.802765272704861,11.643966113685416,queue_length,,,,
21,location_1,K1,3.8707738656495176,4.705152093965761,queue_length,,,,
22,location_1,K1,3.0251383389723703,13.72736487165244,queue_length,,,,
23,location_1,K1,4.225425513838206,12.93919622814989,queue_length,,,,
24,location_1,K1,3.7787195355505903,6.480572727028047,queue_length,,,,
25,location_1,K1,5.029557694847196,8.995639596559602,queue_length,,,,
26,location_1,K1,3.254215897665895,10.998390485156078,queue_length,,,,
27,location_1,K1,5.304337094727611,0.0507245429266056,queue_length,,,,
28,location_1,K1,0.2297993030989051,18.613650729810185,queue_length,,,,
29,location_1,K1,1.8762367489664635,12.66877861635736,queue_length,,,,
30,location_1,K1,0.0,14.550162987912785,queue_length,,,,
31,location_1,K1,0.0,12.845043024999509,queue_length,,,,
32,location_1,K1,3.5755822639767203,17.47226014987213,queue_length,,,,
33,location_1,K1,3.8743659067507776,14.64916313667766,queue_length,,,,
34,location_1,K1,5.268589898676725,9.51866714622047,queue_length,,,,
35,location_1,K1,8.155603558998259,17.773953032779055,queue_length,,,,
36,location_1,K1,6.343942651380841,5.286739853046529,queue_length,,,,
37,location_1,K1,7.608459564243326,13.878897424552347,queue_length,,,,
